start_real,start_imag,lyapunov_exponent
79,-80,-0.589175
-82,67,-0.656757
-79,-90,-0.667154
-19,85,-0.651558
38,-81,-0.661956
68,69,-0.687949
60,81,-0.672353
-52,96,-0.656757
-36,61,-0.677551
16,56,-0.672353
26,29,-0.687949
23,56,-0.677551
48,-73,-0.672353
66,7,-0.667154
-36,3,-0.682750
94,72,-0.672353
67,-7,-0.641161
57,-23,-0.620367
37,28,-0.646360
-50,-47,-0.661956
-88,-72,-0.667154
-13,-4,-0.661956
-67,-17,-0.661956
21,-54,-0.661956
-33,-27,-0.646360
1,-27,-0.672353
48,-35,-0.677551
-13,-24,-0.667154
-64,37,-0.687949
-53,-41,-0.661956
59,90,-0.604771
34,84,-0.667154
71,-4,-0.667154
54,-34,-0.661956
-8,7,-0.687949
93,70,-0.672353
-2,31,-0.677551
-60,61,-0.677551
11,7,-0.667154
54,27,-0.661956
-86,-43,-0.661956
-65,47,-0.656757
-93,-60,-0.667154
20,39,-0.672353
1,73,-0.672353
84,-74,-0.677551
91,23,-0.661956
27,-81,-0.661956
24,45,-0.672353
16,-84,-0.672353
5,88,-0.630764
45,-73,-0.661956
92,92,-0.687949
-66,60,-0.651558
-19,19,-0.677551
-11,57,-0.672353
100,59,-0.661956
87,90,-0.646360
-82,-50,-0.667154
45,18,-0.667154
-90,-81,-0.646360
4,23,-0.672353
-67,-66,-0.687949
-75,13,-0.599572
-99,15,-0.615168
-5,-7,-0.656757
36,5,-0.641161
46,53,-0.667154
84,60,-0.646360
4,-2,-0.672353
-53,20,-0.656757
-73,87,-0.677551
69,-76,-0.656757
57,-77,-0.661956
44,-83,-0.672353
-2,32,-0.682750
46,-16,-0.677551
85,55,-0.646360
-59,34,-0.646360
46,-33,-0.677551
48,80,-0.672353
64,53,-0.682750
27,-46,-0.651558
59,-27,-0.661956
6,-37,-0.656757
-38,-69,-0.667154
93,-71,-0.661956
-83,88,-0.656757
11,-12,-0.672353
48,-23,-0.677551
-75,46,-0.604771
-65,11,-0.646360
90,88,-0.667154
-28,56,-0.672353
23,-4,-0.667154
-72,-25,-0.661956
31,98,-0.672353
-100,44,-0.656757
70,91,-0.646360
-15,-77,-0.609970
-46,70,-0.635963
76,28,-0.667154
-76,-76,-0.687949
-4,18,-0.677551
-94,37,-0.682750
9,-98,-0.651558
-81,-9,-0.646360
45,65,-0.677551
-14,-41,-0.646360
94,-8,-0.661956
-37,-12,-0.661956
-98,-40,-0.661956
3,84,-0.672353
48,57,-0.687949
9,-78,-0.672353
-22,100,-0.651558
-92,76,-0.656757
37,-43,-0.630764
56,68,-0.687949
-92,-79,-0.609970
33,100,-0.646360
-96,33,-0.682750
-73,30,-0.646360
25,-82,-0.651558
36,80,-0.635963
73,-95,-0.630764
-51,-52,-0.667154
-9,-72,-0.672353
71,56,-0.667154
62,-61,-0.672353
-98,83,-0.656757
-42,31,-0.677551
82,-93,-0.661956
-99,-99,-0.687949
-69,-90,-0.646360
64,21,-0.682750
96,61,-0.672353
93,-53,-0.635963
-43,70,-0.677551
-51,-89,-0.604771
34,60,-0.646360
94,86,-0.667154
-76,55,-0.682750
70,40,-0.667154
64,68,-0.687949
-11,-92,-0.609970
-9,-60,-0.667154
-78,-75,-0.646360
40,1,-0.682750
8,49,-0.672353
10,26,-0.677551
-83,71,-0.641161
-10,-69,-0.651558
63,47,-0.667154
-90,-62,-0.625565
-97,-46,-0.646360
-80,42,-0.677551
5,97,-0.672353
50,22,-0.661956
2,-90,-0.672353
-86,23,-0.656757
-100,-92,-0.667154
-56,77,-0.682750
-8,42,-0.677551
-18,-66,-0.667154
-26,-82,-0.625565
54,-64,-0.672353
-25,96,-0.672353
18,-8,-0.667154
9,57,-0.672353
-49,27,-0.641161
75,15,-0.661956
-11,-71,-0.630764
-51,90,-0.656757
8,-40,-0.672353
-16,16,-0.682750
8,40,-0.672353
-49,30,-0.656757
-12,89,-0.677551
-69,-71,-0.651558
-8,2,-0.687949
38,-19,-0.667154
83,-5,-0.661956
-75,-77,-0.667154
95,-74,-0.661956
90,-45,-0.661956
-82,-39,-0.651558
23,-14,-0.661956
57,22,-0.641161
-20,27,-0.677551
95,-18,-0.661956
-70,-18,-0.661956
68,-57,-0.677551
90,18,-0.661956
20,-37,-0.672353
85,-93,-0.656757
-40,-16,-0.667154
-5,-5,-0.687949
-71,-55,-0.667154
-81,15,-0.682750
-30,13,-0.661956
18,41,-0.646360
9,30,-0.646360
18,31,-0.646360
23,-37,-0.635963
-51,58,-0.677551
-32,10,-0.687949
-61,-14,-0.641161
6,25,-0.672353
5,-28,-0.661956
93,3,-0.661956
62,48,-0.667154
12,78,-0.677551
-75,85,-0.677551
70,1,-0.682750
47,4,-0.682750
-46,60,-0.656757
-51,-37,-0.651558
4,68,-0.677551
-23,-1,-0.682750
-92,-77,-0.646360
-89,-86,-0.667154
74,69,-0.667154
65,-89,-0.615168
-85,-44,-0.661956
13,-33,-0.672353
-3,-66,-0.672353
46,-37,-0.677551
-87,49,-0.656757
81,-98,-0.630764
-13,66,-0.677551
41,72,-0.625565
-17,-26,-0.646360
42,-70,-0.672353
-52,20,-0.656757
34,-76,-0.672353
2,-27,-0.661956
0,92,-0.693147
-85,100,-0.677551
-10,55,-0.682750
-15,-38,-0.656757
54,38,-0.667154
-72,41,-0.635963
51,-23,-0.635963
86,28,-0.661956
-33,-98,-0.651558
35,-58,-0.656757
52,5,-0.641161
-7,-68,-0.609970
43,-67,-0.656757
-17,68,-0.677551
84,98,-0.667154
92,11,-0.667154
-60,68,-0.682750
61,99,-0.630764
30,-72,-0.630764
1,-10,-0.672353
69,-22,-0.667154
-34,-84,-0.625565
67,51,-0.667154
-92,-13,-0.646360
-4,-6,-0.687949
84,-70,-0.677551
-39,-64,-0.661956
-51,82,-0.656757
89,-92,-0.656757
27,-54,-0.651558
-62,-42,-0.661956
-61,-2,-0.661956
100,17,-0.641161
45,-1,-0.661956
-98,-84,-0.646360
-46,-52,-0.667154
68,69,-0.687949
71,28,-0.667154
11,30,-0.646360
-19,34,-0.677551
59,53,-0.667154
23,-89,-0.672353
45,-27,-0.635963
49,8,-0.641161
77,-32,-0.635963
87,69,-0.646360
-34,-4,-0.661956
6,54,-0.672353
38,71,-0.677551
-26,1,-0.682750
-14,82,-0.677551
-39,18,-0.604771
-76,70,-0.677551
-23,-32,-0.661956
17,0,-0.667154
70,6,-0.682750
3,-79,-0.672353
-96,-20,-0.661956
100,84,-0.667154
26,26,-0.687949
-22,-65,-0.630764
-99,-32,-0.661956
-37,-62,-0.656757
-48,-96,-0.667154
22,86,-0.672353
38,-10,-0.667154
-16,-39,-0.667154
-72,20,-0.661956
13,-99,-0.672353
-17,-45,-0.667154
-66,41,-0.656757
5,27,-0.630764
43,97,-0.672353
61,24,-0.641161
76,-5,-0.661956
97,53,-0.641161
30,81,-0.667154
3,44,-0.672353
-43,93,-0.635963
25,57,-0.672353
